tweet_id,airline_sentiment,text
569248437050302464,1,@VirginAmerica can you please get me to the new york area before monday afternoon
569281033365037056,0,@united No customer service rep could confirm where my bag was &amp; each gave me different info. Ruined 2 events I had today. #disappointed
567745903474540545,0,@VirginAmerica my flight (6000) scheduled for 1pm departure still says on time but no plane at gate. Any update on how long of a delay?
570200756827000832,0,@united I'm seeking to go 2 client. B/c u cant get me there I need refund. I filled out form not confident it works if past is an indication
568497542100586497,0,@united I see you tweeting as little as 7 min ago. Are you just ignoring my CS request? #CantLogOutOfUnitedWifi
568044275910512640,0,@SouthwestAir Flight 4110 MCO to ISP delayed. Any details on why?
568628841431867392,0,"@united just curious, when are you going to to finally learn #customerservice ?"
569592590632247297,0,@AmericanAir Has AA Flight 296 from San Antonio to Dallas been Cancelled Flighted?
568164652821184512,1,@JetBlue is the trueblue site broken at the moment?
569621351650209792,0,@JetBlue it seems almost inconceivable that sitting a 5 year old alone is considered okay. But this guy thinks so. http://t.co/q9n6NZYSpK
569728621344104448,1,"@southwestair,  kudos to your rep ""Patricia"" at gate B11 this Sunday morning at #Chicago #Midway #MDW,… http://t.co/MmCWkqp2gy"
569928989231353857,2,"@JetBlue I love flying with u, but I have a question, why is one of ur planes called ny jets"
569749422482960384,0,@united Tried filling out the status match form and got hit with an error message. How can I tell if it went through? http://t.co/JbDkxd6eFz
569894690566369280,0,@AmericanAir please improve business extra flight reservation process. can't book online?  what century are we in? 25 min+ on hold
569259449115942913,2,@USAirways thank you! You have always been so good to me. I will follow up.
569985299448795137,1,@JetBlue what's good with a Miami terminal?
570287886135918593,1,"@JetBlue flying w/ infant for the 1st time, can I bring a canister of powder formula for a carry on and/or use my plastic formula divider?"
569529789100507136,0,@united you should spend all of the money you take for our tickets and update your planes! Each flight has a maintenance issue!!!
569677513539981313,0,@AmericanAir you Cancelled Flightled my wife's flight and she has to call but your service won't even let us. Going on 7 hours now.
568553063935557632,0,@USAirways never fails to disappoint.
568882321119510528,2,"@SouthwestAir, thanks for being so good to us #military folk. It's cold in #StLouis but I sure enjoyed my flight. http://t.co/RcdH183Q1J"
569696666611261440,0,@usairways @usair   idiots took our plane &amp; gave it to someone else. Fudgers!!!! Flight 799 from Philly to Orlando
570050402294636544,0,"@SouthwestAir very disappointed in your customer service right now. definitely not feeling the luv. what's worse, 2nd time this winter."
570072918094442496,0,@United I have no way of making phones calls... Need to handle via Twitter/email/web. Thank you!
568495808053702656,1,@virginamerica.. Can you help? Left my blazer in. Kooples jacket bag at 3rd row second seat from right gate 36 T3 lax.. Flight to sfo
569487167191425024,0,"@united you realize you've said this already. At least last time you asked if I needed ""help"""
569975294158901248,0,"@AmericanAir I really can't there though to an agent, and I am worried about my reservation. Can you help me out!"
568412546673352705,2,@united followed and messaged. Thanks so much for the help.
569701794567163905,0,@AmericanAir one staff on desk. Now been queuing for over an hr.
567774437673603073,0,@united no they were to busy taking to each other and I needed to get to an audition.
568813302140284928,1,@SouthwestAir can you show me some luv?Its 9 degrees and all this snow but Imdetermined to go to #DestinationDragons http://t.co/oXm6cWGaB7
567809403668430849,0,@USAirways flight 4524 delayed for 2 hours for a deadhead crew.  Lets make 150 paying customers wait ...that is great service #USAirways
568132101729443841,0,"@USAirways the only way to assist, is to actually answer the phone."
569139808804605953,0,@USAirways Saying my friend missed her flight when she clearly sat next to me on the plane &amp; now you're Cancelled Flighting her flight home.. WTF!?
568105051622756352,0,"@USAirways It is the 2nd person when I called again to ask, could not catch her name, rejected the request"
569596394819883008,2,"@JetBlue what a great experience on flight from SFO to JFK; seats, service, food, everything is top quality. I will be back. Very soon!"
569526894028197888,0,@JetBlue she waved someone behind me to step forward although I explained what happened and indicated my need to make my flight
568445415768477696,2,@SouthwestAir @FortuneMagazine Congrats!
569895927273517056,0,"@AmericanAir @united You're both equally terrible, and I'm going to fight until I get complete satisfaction for how we were mistreated"
570300355843661824,2,@AmericanAir I might look into that. My wife travels much more than I do. Could we both use the membership?
568473686178717696,1,@JetBlue Sent my suggestion and comments via the link provided..
569372837854756864,0,@USAirways @jtrexsocial 5 hours on hold ... Safe to say no one is working .
569767266075742208,1,@united can you help me add my KTN to this reservation PLZ?
568104985935753216,0,@USAirways must be nice to take your customer service phone off the hook! #fendforyourself
568781422804262912,1,"@SouthwestAir yes, thank you. Just sent DM."
568735060104511488,1,@VirginAmerica can u help this 👸 @FreyaBevan_Fund needs urgent treatment in🇺🇸2y old battling cancer could u help with flights 💗#freyasfund
567781227537915906,0,@USAirways And it's 3:22 with no sign of boarding.... Can I please get another update?
569923242015764480,2,@USAirways They were breathing very heavily. but were super helpful. Thank you.
569629692661268480,2,@united Thank y'all for being an amazing airline who knows how to treat their customers. you guys rock!
570251814970515456,0,@AmericanAir I need refund.
569766956062134272,2,@SouthwestAir you know what'd be beyond awesome? A pair of tickets to the @Imaginedragons show in ATL. A girl can dream #DestinationDragons
568064947214782464,0,@USAirways for a response in 3-4 days? No thanks
